#  JD          J           K  
 2456058.4   6.01 .00    4.81 .01  
 2456080.4   5.96 .01    4.77 .01  
 2456089.4   5.88 .01    4.70 .01  
 2456110.3   5.88 .01    4.68 .00  
 2456147.3   5.98 .00    4.77 .00  
 2456409.5   6.00 .00    4.80 .00  
 2456431.4   5.91 .01    4.73 .00  
 2456438.4   5.88 .01    4.71 .01  
 2456442.4   5.86 .01    4.71 .01  
 2456467.4   5.92 .01    4.72 .01  
 2456471.4   5.90 .00    4.72 .00  
 2456485.3   5.94 .00    4.75 .00  
 2456492.4   5.94 .01    4.75 .01  
 2456498.3   6.00 .01    4.78 .00  
 2456517.3   6.03 .01    4.80 .01  
 2456517.3   6.01 .01    4.82 .01  
 2456517.3     -   -     4.81 .01  
 2456694.7   5.88 .00    4.72 .00  
 2456739.6   6.00 .00    4.82 .00  
 2456769.5   5.91 .00    4.75 .00  
 2456824.4   5.92 .01    4.76 .01  
 2456848.3   6.04 .01    4.84 .00  
 2456871.3   5.98 .01    4.80 .00  
 2456880.3   5.92 .01    4.76 .00  
 2456886.2   5.88 .01    4.74 .01  
 2456886.2   5.91 .01    4.74 .01  
 2456916.2   5.86 .01    4.70 .01  
 2456941.2   5.94 .02    4.76 .01  
 2457103.6   5.93 .00    4.76 .00  
 2457124.5   5.84 .00    4.68 .00  
 2457227.3   5.89 .01    4.70 .01  
 2457261.3   5.84 .00    4.68 .00  
 2457268.3   5.88 .01    4.72 .01  
 2457485.5   5.78 .00    4.62 .00  
 2457525.5   6.00 .00    4.80 .01  
 2457540.4   5.94 .00    4.75 .01  
 2457557.3   5.87 .01    4.72 .01  
 2457566.4   5.88 .01    4.68 .00  
 2457583.4   5.84 .00    4.65 .01  
 2457591.3   5.82 .01    4.66 .01  
 2457620.3   5.92 .01    4.75 .02  
 2457644.2   5.95 .01    4.75 .01  
 2457801.6   5.84 .00    4.68 .00  
 2457812.6   5.82 .01    4.65 .00  
 2457834.5   5.84 .00    4.68 .00  
 2457846.5   5.90 .01    4.71 .01  
 2457878.4   5.92 .00    4.73 .00  
 2457908.4   5.87 .00    4.69 .00  
 2457971.3   5.92 .01    4.73 .01  
 2457976.3   6.00 .01    4.81 .01  
 2458213.5   6.00 .00    4.82 .00  
 2458231.5   5.98 .00    4.79 .00  
 2458252.4   5.88 .00    4.72 .01  
 2458303.4   5.91 .01    4.72 .01  
 2458334.3   5.96 .01    4.76 .01  
 2458348.3   5.94 .01    4.74 .01  
 2458519.7   5.87 .01    4.71 .00  
 2458534.6   5.93 .00    4.76 .01  
 2458546.6   5.94 .01    4.78 .01  
 2458556.6   5.94 .00    4.77 .00  
 2458561.6   5.92 .00    4.76 .01  
 2458598.5   5.86 .01    4.70 .00  
 2458617.4   5.81 .01    4.67 .00  
 2458627.4   5.84 .01    4.71 .00  
 2458630.4   5.85 .01    4.69 .00  
 2458632.4   5.84 .01    4.70 .01  
 2458636.4   5.90 .01    4.70 .01  
