55672.5 9.15
55697.39999999991 9.19
55734.39999999991 9.18
55751.39999999991 9.18
55760.299999999814 9.20
55780.299999999814 9.22
55784.299999999814 9.22
55795.299999999814 9.17
55819.299999999814 9.11
56084.39999999991 9.11
56118.299999999814 9.07
56142.299999999814 9.06
56201.299999999814 9.09
56410.5 8.96
56433.39999999991 8.98
56470.39999999991 8.94
56473.39999999991 8.99
56487.299999999814 9.02
56493.299999999814 9.02
56520.200000000186 9.00
56525.39999999991 9.06
56849.39999999991 9.16
56871.299999999814 9.10
56940.200000000186 9.10
56967.200000000186 9.12
57124.60000000009 9.06
57233.299999999814 9.14
57236.39999999991 9.13
57261.299999999814 9.12
57269.299999999814 9.11
57294.200000000186 9.07
57529.5 9.16
57557.39999999991 9.13
57587.299999999814 9.04
57595.299999999814 9.14
57623.39999999991 9.02
57640.200000000186 9.11
57846.5 9.12
57892.5 9.10
57912.39999999991 9.16
57945.39999999991 9.03
57971.299999999814 9.10
58004.200000000186 9.12
58235.5 9.03
58259.5 9.05
58306.39999999991 9.06
58332.39999999991 9.03
58351.299999999814 9.06
58397.200000000186 9.16
58627.39999999991 9.10
58653.39999999991 9.18
58685.299999999814 9.21
58708.299999999814 9.20
58720.200000000186 9.12
58735.299999999814 9.08
58774.200000000186 9.06
59070.299999999814 9.06
59377.39999999991 9.03
59454.299999999814 9.07
