iteration,chain,m_giant,m_dwarf,mass_quotient,mass_quotient_inv,cos_i,observer_angle,initial_phase,offset[1],offset[2],log_σ_common[1],log_σ_common[2]
1001,1,1.2415275360518987,1.0163570717460142,0.8186343373245393,1.2215466105028039,0.3761199978231072,1.185191092824637,-1.4287440863310357,18.837443830869667,21.162704348805512,-3.7601598856357015,-3.550156785386717
1002,1,1.9747754513990712,1.2605550450937424,0.6383282940856266,1.5665920017417527,0.3649635959218545,1.1972026252288854,-1.4472846237421149,18.837549709900163,21.162209474638697,-3.777133441795604,-3.6399138602183836
1003,1,1.6911924963543212,1.2310184176760979,0.7278996449722821,1.373815754557868,0.38873363803330224,1.1715395965411781,-1.4352506262088969,18.840000110910907,21.159606644276202,-3.7150416915402755,-3.574633282880195
1004,1,0.9686059037470224,0.7152156703341146,0.7383969760738858,1.354285069417643,0.40394148649552625,1.1549749096712247,-1.4457687851066465,18.8476660086372,21.170391500696372,-3.7777800408994864,-3.604243804872042
1005,1,0.9508695548007077,0.699703489448416,0.7358564441523912,1.3589607157030026,0.41662722471308955,1.1410642827144493,-1.4499567549515386,18.84506911098233,21.169308606827997,-3.7974100128354125,-3.617134624417959
1006,1,1.0634589964943724,0.8429818740434596,0.7926792446368858,1.2615443216986018,0.4432429069873259,1.1115831809357113,-1.4272102417661108,18.845353268019277,21.170726738587028,-3.732762815886236,-3.571369433725061
1007,1,1.5095915205411083,1.2083608549298903,0.8004555129567482,1.2492886660323794,0.44605440973245797,1.108444307605702,-1.4287963546565292,18.847699042448962,21.1735771639664,-3.7556093157642483,-3.541259345448165
1008,1,1.098329939878896,1.2844928784643872,1.169496370649805,0.8550689212009884,0.48918939638141135,1.0596362183969137,-1.4223781919256269,18.847205963732787,21.172552397394075,-3.6910558533729962,-3.543244009058491
1009,1,0.7447800657488779,1.1302562236146594,1.5175704554849818,0.6589479891267535,0.5703302646057211,0.9638884600096558,-1.4345082438916281,18.856112037808114,21.18929828262986,-3.866456759651106,-3.635921188681216
1010,1,0.7156298925408003,1.1004135795307242,1.5376853189066386,0.6503281183116476,0.5744912473145706,0.9588138733977715,-1.433317393895308,18.857140342420205,21.18643121172988,-3.8450253116486413,-3.627597282351555
1011,1,1.2834782307396109,1.3570679056626318,1.0573361301816662,0.9457730341894067,0.5230530056384195,1.0203672190899395,-1.4404677800971968,18.85472116807095,21.182703673865078,-3.8061586229678315,-3.582756937032784
1012,1,0.8704670303113912,1.1817663747107585,1.3576233602874155,0.7365813150035184,0.5139108283800932,1.0310588233364062,-1.454202845525398,18.849250780527022,21.177238718005675,-3.7342733007777418,-3.5513933823140262
1013,1,0.8561208974700527,1.1714732200679656,1.3683502219485817,0.7308070579883875,0.5287739494975545,1.0136409275884941,-1.4558813008604854,18.850432393827596,21.17749725798247,-3.7416571024683765,-3.5416103611552585
1014,1,1.2868187511504892,1.176976504836193,0.9146404680409802,1.0933257765664435,0.4617926201595899,1.0907811692434728,-1.4269423405552162,18.849617963403254,21.17139840614192,-3.7569520467494844,-3.6506419228325404
1015,1,0.7758475029201,0.9313770029176116,1.2004640079553477,0.8330112301352693,0.5446981978549659,0.9947671284221367,-1.454379010144949,18.85755293083134,21.18380264513782,-3.7558156474131645,-3.5661878838215837
1016,1,0.713242947216795,1.2990343098730215,1.8213069122409018,0.5490562811127856,0.5703696167234148,0.9638405515233557,-1.4237346423240258,18.85316093438329,21.183250739330262,-3.794539172864067,-3.5792422501792025
1017,1,0.6878989709841122,1.3498288035991455,1.9622486157641326,0.509619419255181,0.5903156620651945,0.939346470525333,-1.4244834151138295,18.854218492440687,21.18493580461351,-3.7791465196467446,-3.58370585346377
1018,1,1.1062051831972877,1.110465857401957,1.0038516129461215,0.9961631650570171,0.5188911455489185,1.0252430355766071,-1.4686262785555908,18.858049219544828,21.185583306641057,-3.8213216014889904,-3.689302113585548
1019,1,0.9592476855526786,1.211143621926112,1.2625973876896055,0.792018112622484,0.5541098283554677,0.9835030894486295,-1.461127150458039,18.85848420064652,21.18707666848138,-3.7957210176083716,-3.677885881353969
1020,1,1.0642445338082547,1.3988761879042397,1.3144311701546176,0.7607853668612934,0.528986474209488,1.01339051449358,-1.4544867033484536,18.852594513918042,21.18106905397238,-3.731169814733753,-3.648746601917422
1021,1,0.8711127549281299,1.4105063950457915,1.619200714334809,0.6175886603476546,0.5556041809209895,0.9817068748960174,-1.4574847548160266,18.851528137568057,21.18247656133786,-3.700227787831093,-3.588363848747209
1022,1,0.8101111076544116,0.975013350412427,1.2035550941098336,0.8308718104339163,0.5516715655991603,0.9864292864931162,-1.4343135263061273,18.861273894228276,21.189749261326355,-3.7608457876408017,-3.628719045008082
