iteration,chain,mass_quotient_inv,mass_quotient,cos_i,observer_angle,initial_phase,offset[1],offset[2],log_σ_common[1],log_σ_common[2]
1001,1,1.0178336840922926,0.9824787837433414,0.5206081100613198,1.023233287622405,-1.4421525732034013,46.690217558279414,48.8919358157564,-3.7279871350911957,-3.5084133970073226
1002,1,0.7525101379589058,1.3288857512436723,0.5685582726459288,0.9660440904886153,-1.4341488237934805,46.693686200027436,48.89941606251663,-3.782865650236736,-3.6722803631447065
1003,1,0.45697524367323394,2.1883023508272648,0.5988963307941376,0.9286740919609704,-1.4269381778314143,46.69324934066649,48.895241261759665,-3.816239741576128,-3.5981537094415925
1004,1,0.6510626122848082,1.535950584676714,0.5926606613601837,0.9364381713031246,-1.4253522931953992,46.6980532225623,48.90196464471369,-3.7625782775728487,-3.556549720174504
1005,1,0.5016456593424362,1.9934389571133004,0.5746975388268126,0.9585618183453818,-1.4180559383956484,46.68915899011311,48.89013899232922,-3.797778236864646,-3.7267872450143504
1006,1,0.6312532703230217,1.584150208819172,0.6070912905992227,0.91840132469362,-1.438859061223757,46.6989159785942,48.90097900015338,-3.7676396937780665,-3.6275640060409056
1007,1,0.5206157168797022,1.9208025566217555,0.5677919111681679,0.9669753754372485,-1.4524789601143433,46.68856580322053,48.88961456328162,-3.6417201998413287,-3.615961162628134
1008,1,0.87477487357791,1.1431512612038202,0.5577678963745168,0.9791022558293627,-1.4459830195186223,46.694158512917774,48.89967175464735,-3.8251928742992485,-3.5997993116930775
1009,1,0.698410856648016,1.4318219576360027,0.5403550954579485,0.9999372638462121,-1.4436853287036893,46.686810882607986,48.89305133011807,-3.78034737875096,-3.5854277660233786
1010,1,0.6319294648560014,1.5824550928763406,0.5719021256107432,0.9619735854623775,-1.434995567757263,46.692400131628105,48.89870578936379,-3.7210707849461446,-3.49141779739473
1011,1,0.8153837736453764,1.2264163603958547,0.5443267430875018,0.995209994065148,-1.4493751818070741,46.69008347654587,48.894631582067454,-3.755441749304944,-3.6973769905002825
1012,1,0.6539596157406619,1.5291464119958227,0.5462454540419719,0.9929210445944009,-1.4406513352792523,46.68641903720088,48.889448953398826,-3.6574566065818814,-3.691857566677295
1013,1,0.9971566098279808,1.0028514980936742,0.520357936273672,1.0235262750776173,-1.4322910106994535,46.688444354792026,48.891765457414095,-3.746941484438316,-3.564050846759793
1014,1,1.1377035506884807,0.8789635924005428,0.47658528387638194,1.074029929326939,-1.450823284025571,46.682178135770066,48.887536794473334,-3.699827839423614,-3.5557443523967613
1015,1,0.9293589211693188,1.0760105457876281,0.505175942500459,1.041210504386209,-1.432297060466212,46.68515502172621,48.88722970540519,-3.8064269503397155,-3.6185634916949265
1016,1,0.8608434338360691,1.1616514231209558,0.5079802361634693,1.0379579928815137,-1.4294613284759254,46.680683533582126,48.89035566674214,-3.794077422755443,-3.661733949492004
1017,1,0.9738807474519562,1.0268197647570114,0.5190994099080484,1.0249993880120603,-1.445297199098555,46.688723836801266,48.88834801206227,-3.721627216702642,-3.632016697630099
1018,1,0.4150588902528526,2.4092966648438807,0.6086343254194085,0.9164580580193138,-1.4355494858699107,46.68851545269829,48.895219384380475,-3.730354139221204,-3.6567880352199156
1019,1,1.0621630857528779,0.941475008323401,0.5346119004755686,1.0067478826862275,-1.4515786601088423,46.68886791004144,48.89704797224365,-3.735359040868212,-3.5647018745116577
1020,1,0.4974036302977053,2.0104396893956755,0.6139945617422771,0.9096848111908152,-1.4200537276239915,46.69301065807584,48.8994732542149,-3.7511470289244424,-3.633334715733789
1021,1,0.6200004757794447,1.612901988087722,0.5829215278964294,0.9484766532885721,-1.4555863787949872,46.692885374374114,48.89916151475756,-3.7251065991179404,-3.5209395510505455
1022,1,0.5840016757371866,1.712323853758977,0.5872418395486998,0.9431493273998144,-1.4494474974294724,46.692349123877825,48.895811017149256,-3.7611625524331496,-3.5203593906605346
1023,1,0.46053142240653355,2.171404493475043,0.6041163351417951,0.9221398094204134,-1.4483955836936928,46.690217463117406,48.89737734713386,-3.7490629196881327,-3.499902210705042
1024,1,0.5347094849484367,1.8701744183506157,0.6119772310098677,0.9122380930211642,-1.429441299558758,46.696421758491255,48.8989611166642,-3.782347347118323,-3.5072409254498713
1025,1,0.6429345046888969,1.555368381549035,0.5506153223900325,0.987695142274585,-1.439277171349578,46.685629951142076,48.89270055739405,-3.702207715121666,-3.7036975018069556
1026,1,0.6256110418316654,1.5984372607494233,0.5892257860358375,0.9406960442484936,-1.4419397283822881,46.695167967389565,48.89870548455161,-3.8254723543313043,-3.616169441794458
1027,1,0.6027574788408788,1.659042044443863,0.6070062270885755,0.9185083679823834,-1.4557706040032514,46.69551369567032,48.90111474244919,-3.8680562866431707,-3.5838473012022933
1028,1,0.768999596488965,1.300390799378462,0.5322807517990361,1.0095039205378642,-1.4337994632538216,46.68753514277827,48.893757047030725,-3.7382907278172977,-3.535362671074566
1029,1,1.2459773787435222,0.8025827892705624,0.46638726623757837,1.0855940871763026,-1.4359915746595386,46.679793538083956,48.88557350527291,-3.721726004662923,-3.5509023539739712
1030,1,1.1210480392366642,0.8920224334729783,0.46873607092768343,1.0829369479935989,-1.435848058856716,46.6790290667971,48.885419279306355,-3.7223340110105316,-3.5444310629555402
1031,1,1.0901636271361317,0.9172934916449266,0.47232965563182855,1.0788643497432864,-1.4297381428086784,46.68109936697141,48.88740240323999,-3.7234038561858585,-3.650551120777535
1032,1,1.1066229992910164,0.9036501144840412,0.4726864688501572,1.0784594903812512,-1.4464972711763746,46.684797054770556,48.88708753189596,-3.6777722486918387,-3.580897274607302
1033,1,1.1064440639099693,0.9037962537990257,0.48100906776020175,1.0689910137151721,-1.4454261765785297,46.67963821788996,48.88866170252885,-3.694757312808761,-3.5669957076072287
1034,1,0.9818464221950218,1.0184892233597937,0.500571561219322,1.046537443312994,-1.4631242223090037,46.683702817402356,48.89076995500489,-3.726089473208056,-3.5668631433234443
1035,1,0.8553875684346968,1.169060712245251,0.5210080888275189,1.0227647494254164,-1.3997594668840196,46.68512027346414,48.89218802094176,-3.770399020434611,-3.5580284470793186
1036,1,0.8495980467605037,1.1770271881073353,0.5287689671611177,1.0136467976949008,-1.4014454131089098,46.68638814080022,48.891324858409064,-3.7651800464299825,-3.5472821058642667
1037,1,0.8641032225977192,1.157269147768874,0.5338974237543075,1.0075930936614859,-1.402578817926914,46.6864274466962,48.892993259761305,-3.768675525772416,-3.543718140297413
1038,1,0.8544236113331821,1.17037964159215,0.5349688442703328,1.006325456372454,-1.4123699434902925,46.68690848984009,48.89204358614219,-3.763275203047382,-3.5447682529250035
1039,1,0.8814512804316855,1.134492651153965,0.5224680278683351,1.0210534264843354,-1.4087582908476963,46.68753618804267,48.892722572500084,-3.759692713435495,-3.5351608085506347
1040,1,0.9633670416406872,1.0380259618358172,0.5099875595072124,1.0356259992136485,-1.4251987297692896,46.6874121475654,48.888264984289435,-3.8115066590242423,-3.537419327391581
1041,1,1.2430204094258188,0.8044920199354765,0.4559503558302352,1.0973565950813962,-1.4247961350553766,46.6809875686853,48.881920354557224,-3.8628796765476494,-3.5495777291785617
1042,1,0.5952907790178664,1.6798513184595911,0.5854110232979256,0.9454093866752971,-1.4525683549908004,46.69147869855305,48.89919568604446,-3.6929064714705446,-3.624167709565924
1043,1,0.791759524068095,1.2630097518271157,0.5435271536194164,0.9961628703594494,-1.4275769533228277,46.68578942031005,48.894207442023216,-3.7111578204386686,-3.574937205072224
1044,1,0.7230834903660928,1.382966162723071,0.5661860994226953,0.9689248266015998,-1.4477953013177518,46.69130909725657,48.89454673090946,-3.816209502292228,-3.6477317125305277
1045,1,0.6229186813088711,1.6053459785454003,0.5910754075668668,0.9384049031393972,-1.4420364286992964,46.691540295286025,48.89790438974178,-3.871233099239465,-3.6408458873752285
1046,1,0.7993011938784134,1.2510928391683551,0.5516406097754364,0.9864664005980716,-1.428818317743428,46.68732734965944,48.895936827374506,-3.612820322279577,-3.555864334297139
1047,1,0.7810588137906754,1.2803133161595703,0.5434984341579612,0.9961970845972825,-1.4289355947903986,46.68606023053574,48.89201117100833,-3.6047753394152275,-3.529738161450302
1048,1,0.7082172218527698,1.4119961632447968,0.5682667862175712,0.9663983763153658,-1.4436191478285636,46.6927289421472,48.89789217650986,-3.7594041722638556,-3.6572049853637187
