iteration,chain,mass_quotient,mass_quotient_inv,cos_i,observer_angle,initial_phase,offset[1],offset[2],log_σ_common[1],log_σ_common[2]
1001,1,1.2753712116369378,0.7840854418506914,0.5827439721785643,0.9486951586248795,-1.4025026027467213,46.69716334090944,48.90220172182778,-3.712703197524283,-3.561936489431249
1002,1,2.453479855101685,0.4075843532689429,0.5724076596610637,0.9613571899346607,-1.4348201270110144,46.68511482762664,48.88916048950341,-3.7720846166649897,-3.455588245485328
1003,1,4.14527073509661,0.24123876675492797,0.636422112843519,0.8809455169271151,-1.443684202669515,46.68870963569815,48.89190528630547,-3.6665101577729544,-3.6665730297014623
1004,1,2.0836425414667197,0.4799287690181633,0.611573784823726,0.9127481185164305,-1.4273558617370028,46.69349814626741,48.89995044308584,-3.6606729935563296,-3.608672416689308
1005,1,1.6891879814196133,0.5920004232800593,0.5668407742004602,0.9681303689452347,-1.4336493445537895,46.6924620218757,48.894879569545964,-3.7468509173861837,-3.524187540226465
1006,1,1.605803013621657,0.6227413895211494,0.5661862013796555,0.968924702909067,-1.450235635332338,46.690407129479944,48.897803609714046,-3.7478236620002647,-3.5390534923529064
1007,1,1.4063255114329467,0.7110729286145641,0.5517835420122809,0.9862950261372012,-1.4150153600748723,46.68840463915513,48.89403522574488,-3.723122948857483,-3.5969663888609147
1008,1,2.6630474807221507,0.3755096397037673,0.6280040673008611,0.8918105514832247,-1.464972882297784,46.694549716438615,48.898951669446326,-3.78204803528778,-3.579876620318001
1009,1,2.633694186940416,0.37969480471903544,0.6266037360911826,0.8936086736072743,-1.4370493655413796,46.694482396671525,48.89810161967994,-3.723363490832112,-3.6349430406766117
1010,1,0.8893436813768397,1.1244246976060452,0.4772642424830934,1.0732574585620573,-1.4357604820471892,46.68177010131635,48.88609306944028,-3.8281429444459465,-3.579265329511686
1011,1,1.4362515032011756,0.6962568866045811,0.5601676826449665,0.9762081180866516,-1.427830505267764,46.687181513869795,48.894594738457315,-3.7059753998627,-3.6349963067296343
1012,1,1.6936327069125985,0.5904467928131515,0.5718398401867681,0.9620495114841181,-1.4392756441940537,46.687212586171476,48.89399128575834,-3.7614188571466127,-3.595180872613382
